FL_DATE	OP_CARRIER	OP_CARRIER_FL_NUM	ORIGIN	DEST	CRS_DEP_TIME	DEP_TIME	DEP_DELAY	TAXI_OUT	WHEELS_OFF	WHEELS_ON	TAXI_IN	CRS_ARR_TIME	ARR_TIME	ARR_DELAY	CANCELLED	CANCELLATION_CODE	DIVERTED	CRS_ELAPSED_TIME	ACTUAL_ELAPSED_TIME	AIR_TIME	DISTANCE	CARRIER_DELAY	WEATHER_DELAY	NAS_DELAY	SECURITY_DELAY	LATE_AIRCRAFT_DELAY	Unnamed: 27
2009-01-01	YV	7143	JFK	IAD	2129	2125	-4	22	2147	2230	8	2314	2238	-36	0		0	105	73	43	228						
2009-01-01	YV	7214	JFK	IAD	2000	1950	-10	21	2011	2056	4	2145	2100	-45	0		0	105	70	45	228						
2009-01-01	OH	6341	JFK	CMH	920	920	0	39	959	1124	2	1126	1126	0	0		0	126	126	85	483						
2009-01-01	OH	6357	JFK	DTW	2020	2020	0	52	2112	2241	9	2252	2250	-2	0		0	152	150	89	508						
2009-01-01	OH	6371	JFK	BNA	1945	1945	0	35	2020	2121	8	2144	2129	-15	0		0	179	164	121	766						
2009-01-01	OH	6377	JFK	RIC	1450	1450	0	39	1529	1620	7	1631	1627	-4	0		0	101	97	51	288						
2009-01-01	OH	6391	JFK	PHL	1720	1755	35	26	1821	1853	6	1847	1859	12	0		0	87	64	32	94						
2009-01-01	OH	6392	JFK	BGR	1140	1140	0	26	1206	1311	6	1310	1317	7	0		0	90	97	65	382						
2009-01-01	OH	6393	JFK	IAD	1505	1500	-5	29	1529	1614	8	1635	1622	-13	0		0	90	82	45	228						
2009-01-01	OH	6397	JFK	CLE	1350	1350	0	38	1428	1547	8	1547	1555	8	0		0	117	125	79	425						
2009-01-01	OH	6401	JFK	CLE	1925	2115	110	18	2133	2252	5	2132	2257	85	0		0	127	102	79	425	85	0	0	0	0	
2009-01-01	OH	6445	JFK	BOS	940	940	0	45	1025	1107	13	1108	1120	12	0		0	88	100	42	187						
2009-01-01	OH	6475	JFK	BUF	2100	2055	-5	46	2141	2237	8	2245	2245	0	0		0	105	110	56	301						
2009-01-01	OH	6485	JFK	BWI	1610	1605	-5	40	1645	1736	7	1740	1743	3	0		0	90	98	51	184						
2009-01-01	OH	6497	JFK	BOS	700	800	60	29	829	910	10	825	920	55	0		0	85	80	41	187	55	0	0	0	0	
2009-01-01	OH	6503	JFK	STL	1855	1847	-8	53	1940	2120	5	2113	2125	12	0		0	198	218	160	892						
2009-01-01	OH	6515	JFK	ORD	900	955	55	32	1027	1138	12	1054	1150	56	0		0	174	175	131	740	0	0	1	0	55	
2009-01-01	OH	6549	JFK	CVG	830	830	0	46	916	1103	1	1105	1104	-1	0		0	155	154	107	589						
2009-01-01	OH	6577	JFK	BNA	920	920	0	34	954	1050	7	1106	1057	-9	0		0	166	157	116	766						
2009-01-01	OH	6579	JFK	PIT	1555	1550	-5	59	1649	1810	5	1808	1815	7	0		0	133	145	81	340						
2009-01-01	OH	6606	JFK	DCA	835	930	55	43	1013	1050	20	1015	1110	55	0		0	100	100	37	213	0	0	0	0	55	
2009-01-01	OH	6614	JFK	BOS	2200	2155	-5	19	2214	2253	10	2330	2303	-27	0		0	90	68	39	187						
2009-01-01	OH	6617	JFK	ORD	1659	1755	56	48	1843	1949	11	1915	2000	45	0		0	196	185	126	740	45	0	0	0	0	
2009-01-01	OH	6626	JFK	BGR	2045	2050	5	35	2125	2225	5	2227	2230	3	0		0	102	100	60	382						
2009-01-01	OH	6629	JFK	RDU	829	928	59	25	953	1108	7	1036	1115	39	0		0	127	107	75	426	39	0	0	0	0	
2009-01-01	OH	6661	JFK	CVG	2000	2000	0	38	2038	2220	10	2240	2230	-10	0		0	160	150	102	589						
2009-01-01	OH	6673	JFK	DCA	1300	1400	60	39	1439	1534	6	1429	1540	71	0		0	89	100	55	213	60	0	11	0	0	
2009-01-01	OH	6675	JFK	DFW	1930	2110	100	26	2136	2353	7	2255	2400	65	0		0	265	230	197	1391	65	0	0	0	0	
2009-01-01	OH	6707	JFK	DCA	1840	1840	0	50	1930	2025	5	2025	2030	5	0		0	105	110	55	213						
2009-01-01	OH	6718	JFK	DTW	1350	1415	25	59	1514	1644	5	1601	1649	48	0		0	131	154	90	508	0	25	23	0	0	
2009-01-01	OH	6719	JFK	BUF	1235	1335	60	45	1420	1520	4	1406	1524	78	0		0	91	109	60	301	60	0	18	0	0	
2009-01-01	OH	6736	JFK	PVD	1520	1520	0	28	1548	1620	5	1631	1625	-6	0		0	71	65	32	144						
2009-01-01	OH	6742	JFK	RDU	1340	1450	70	29	1519	1628	4	1530	1632	62	0		0	110	102	69	426	62	0	0	0	0	
2009-01-01	OH	6758	JFK	BOS	1405	1405	0	49	1454	1542	13	1525	1555	30	0		0	80	110	48	187	0	0	30	0	0	
2009-01-01	OH	6785	JFK	DCA	1600	1625	25	48	1713	1801	9	1736	1810	34	0		0	96	105	48	213	25	0	9	0	0	
2009-01-01	OH	6786	JFK	ORD	2030	2100	30	56	2156	2254	10	2238	2304	26	0		0	188	184	118	740	0	26	0	0	0	
